method,group,n,mean_mm,median_mm,std_mm,p5_mm,p95_mm,min_mm,max_mm,valid_fraction,runtime_s,warnings
1. KD-tree,Distance / mesh,38172,4.774,4.923,1.025,2.841,6.316,0.878,7.501,1.0,0.084,
2. Symmetric KD-tree,Distance / mesh,38172,4.658,4.858,1.093,2.452,6.216,0.878,7.346,1.0,0.156,
3. Normal rays,Normal / ray,38172,5.236,5.173,1.285,3.453,6.878,1.044,14.942,1.0,2.568,"Raw normal-ray miss fraction is 65.0%; missing vertices were filled from nearest valid model vertices.; Normal rays were evaluated on 6,000/38,172 model vertices for runtime; the field was interpolated over the full CardioSDF surface.; Post-processed 7,702 vertices outside finite [0, 15.0] mm range using nearest valid model-surface values."
4. EDT boundary sum,Volumetric EDT,38172,11.864,12.044,2.558,7.196,14.909,3.125,14.909,1.0,0.151,"Post-processed 7,032 vertices outside finite [0, 15.0] mm range using nearest valid model-surface values."
5. EDT medial axis,Volumetric EDT,38172,7.861,8.839,2.873,3.125,11.267,3.125,12.5,1.0,0.105,
6. Laplace field,PDE / field,38172,3.752,2.702,2.617,2.2,10.575,2.198,14.194,1.0,0.427,"Post-processed 2,655 vertices outside finite [0, 15.0] mm range using nearest valid model-surface values."
7. Geodesic Dijkstra,Graph / regularization,38172,10.042,10.938,3.647,0.0,14.062,0.0,14.688,1.0,0.562,"Post-processed 2,422 vertices outside finite [0, 15.0] mm range using nearest valid model-surface values."
8. SDF cone rays,Normal / ray,38172,5.859,5.837,1.362,3.856,7.689,1.248,14.993,1.0,6.339,"Cone rays were evaluated on 1,800/38,172 model vertices for runtime; the field was interpolated over the full CardioSDF surface.; Post-processed 8,847 vertices outside finite [0, 15.0] mm range using nearest valid model-surface values."
9. Regularized correspondence,Graph / regularization,38172,4.774,4.921,1.014,2.875,6.3,1.073,7.433,1.0,8.577,
10. Yezzi-Prince,PDE / field,38172,11.681,12.635,3.436,3.689,14.918,0.677,14.989,1.0,0.045,"Post-processed 14,473 vertices outside finite [0, 15.0] mm range using nearest valid model-surface values."
